,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Elements,left,right
2021-08-26 18:58:50.009,0.29964462,1.1778171,0.29577297,0.57496077,0.06586013,0.5506586,-0.7008886,0.23468362,0.02184253,0.10301965,-0.19094345,0.1430551,0.38537565,0.09189627,0.094396286,0.22136073,0.18815467,-0.14871787,-0.67079026,-0.2172511,,0.0,0.0
2021-08-26 18:58:50.109,0.29964462,1.1530622666666666,0.29577297,0.57496077,0.06586013,0.5247403079166667,-0.7008886,0.23468362,0.02184253,0.12557448499999999,-0.19094345,0.1430551,0.38537565,0.08876372250000002,0.094396286,0.22136073,0.18815467,-0.16908560541666665,-0.67079026,-0.2172511,,0.0,1.0
2021-08-26 18:58:50.209,0.29964462,1.1196025374999998,0.29577297,0.57496077,0.06586013,0.49412155750000003,-0.7008886,0.23468362,0.02184253,0.14085542625,-0.19094345,0.1430551,0.38537565,0.08389472499999999,0.094396286,0.22136073,0.18815467,-0.18762683249999998,-0.67079026,-0.2172511,,0.0,1.0
2021-08-26 18:58:50.309,0.29964462000000003,1.0813676000000003,0.29577297,0.5749607700000001,0.06586012999999999,0.46121419166666655,-0.7008885999999999,0.23468362,0.021842530000000002,0.14940432138888893,-0.19094344999999996,0.14305509999999996,0.38537565000000007,0.07955191666666665,0.09439628599999998,0.22136072999999998,0.18815467000000002,-0.1945703594444444,-0.67079026,-0.21725110000000003,,0.0,1.0
2021-08-26 18:58:50.409,0.29964462,1.0443059416666667,0.29577296999999997,0.5749607699999999,0.06586013,0.4259109658333333,-0.7008886,0.23468362000000006,0.02184253,0.15267909166666663,-0.19094345,0.1430551,0.38537565,0.07710227716666666,0.09439628600000001,0.22136073,0.18815467,-0.18648910250000003,-0.6707902600000001,-0.2172511,,0.0,1.0
2021-08-26 18:58:50.509,0.29964462000000003,1.027395941666667,0.29577297,0.5749607700000001,0.06586012999999999,0.40824255,-0.7008885999999999,0.23468362,0.021842530000000002,0.15278606916666668,-0.19094344999999996,0.14305509999999996,0.38537565000000007,0.07571762416666668,0.09439628599999998,0.22136072999999998,0.18815467000000002,-0.17902695166666666,-0.67079026,-0.21725110000000003,,0.0,1.0
2021-08-26 18:58:50.609,0.29964462,1.0240724333333333,0.29577297,0.57496077,0.06586013,0.4007905658333333,-0.7008886,0.23468362,0.02184253,0.14501152083333335,-0.19094345,0.1430551,0.38537565,0.06941806516666667,0.094396286,0.22136073,0.18815467,-0.18243236083333336,-0.67079026,-0.2172511,,0.0,1.0
2021-08-26 18:58:50.709,0.29964462,1.0282178916666667,0.13218342416666667,0.5749607699999999,0.06586013,0.40301827,-0.4222851904166666,0.23468362000000006,0.02184253,0.1435105,-0.19187531249999998,0.1430551,0.38537565,0.06718763266666665,0.04162294599999999,0.22136073,0.18815467,-0.1895205025,-0.3990658304166666,-0.2172511,,0.0,1.0
2021-08-26 18:58:50.809,0.29964462000000003,1.0305738083333333,-0.12176664833333334,0.5749607700000001,0.06586012999999999,0.4038342583333334,-0.03678422783333332,0.23468362,0.021842530000000002,0.14533814083333338,-0.19078445750000006,0.14305509999999996,0.38537565000000007,0.06738444874999999,-0.01511085541666666,0.22136072999999998,0.18815467000000002,-0.19896971499999994,0.022411833083333332,-0.21725110000000003,,0.0,1.0
2021-08-26 18:58:50.909,0.29964462,1.0173947166666666,-0.16423899416666665,0.8375930154166666,0.06586013,0.38938617624999994,-0.046350711375,0.5642141633333333,0.02184253,0.14730204166666666,-0.1780902666666667,0.32722156625,0.38537565,0.07005827895833333,0.072767831625,0.4566456391666667,0.18815467,-0.1996436725,0.16280313166666668,0.0662176375,,0.0,1.0
2021-08-26 18:58:51.009,0.29964462,0.9750004233333334,-0.1462195275,1.080201925,0.06586013,0.34310820458333335,-0.052948427500000006,0.8409351041666667,0.02184253,0.14383631291666668,-0.1597944754166667,0.48305472999999993,0.38537565,0.06737973083333333,0.19958510416666667,0.6918149920833333,0.18815467,-0.18784866125,0.3020090758333333,0.36731323541666666,,0.0,1.0
2021-08-26 18:58:51.109,0.29964462,0.87431516,-0.076915431875,1.1042893,0.06586013,0.2393671625,-0.06286959624999999,0.8384383999999999,0.02184253,0.130267296,-0.13762385375,0.48305472999999993,0.38537565,0.055628638875000004,0.3366114375,0.7344575,0.18815467,-0.16442125625,0.42265296875,0.43968475,,0.0,1.0
2021-08-26 18:58:51.209,0.29964462,0.65611473,-0.009531085,1.1042893,0.06586013,0.048768176249999996,-0.07175129,0.8384383999999999,0.02184253,0.02225027549999999,-0.12114240999999999,0.48305472999999993,0.38537565,0.03297190491666666,0.4216475,0.7344575,0.18815467,-0.13228562458333334,0.48770335000000004,0.43968475,,0.0,1.0
2021-08-26 18:58:51.309,0.29964462000000003,0.37944839999999996,-0.009531085,1.1042892999999998,0.06586012999999999,-0.16289961000000003,-0.07175128999999998,0.8384384000000001,0.021842530000000002,-0.20365952000000007,-0.12114241,0.4830547299999999,0.38537565000000007,0.009398777000000004,0.42164750000000006,0.7344575000000001,0.18815467000000002,-0.10432117,0.48770335000000004,0.43968474999999996,,0.0,1.0
2021-08-26 18:58:51.409,0.29964462,0.3794484,-0.009531085,1.1042893,0.06586013,-0.16289961,-0.07175129,0.8384383999999999,0.02184253,-0.20365952,-0.12114240999999999,0.48305472999999993,0.38537565,0.009398777,0.4216475,0.7344575,0.18815467,-0.10432117,0.48770335000000004,0.43968475,,0.0,1.0
